AvgSpotLen	BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	collection_date	geo_loc_name	isolate	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	collected_by	host	host_disease	isolation_source	lat_lon
602	SAMN03277248	SRX986819	277	179	SRR1964918	SRS901665	70%_resistant	missing	missing	70%_resistant	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277248	SRX986819	298	193	SRR1970691	SRS901665	70%_resistant	missing	missing	70%_resistant	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277248	SRX986819	265	172	SRR1970692	SRS901665	70%_resistant	missing	missing	70%_resistant	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277248	SRX986819	253	163	SRR1970693	SRS901665	70%_resistant	missing	missing	70%_resistant	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277248	SRX986819	293	189	SRR1970694	SRS901665	70%_resistant	missing	missing	70%_resistant	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277259	SRX986830	19	14	SRR1964928	SRS901666	23-0070	2013	Moldova	23-0070	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
502	SAMN03277259	SRX986830	216	135	SRR1970705	SRS901666	23-0070	2013	Moldova	23-0070	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
502	SAMN03277258	SRX986829	512	325	SRR1964927	SRS901667	22-0129	2013	Moldova	22-0129	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277258	SRX986829	2863	1934	SRR1970704	SRS901667	22-0129	2013	Moldova	22-0129	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
502	SAMN03277257	SRX986828	254	154	SRR1964926	SRS901668	22-0111	2013	Moldova	22-0111	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277257	SRX986828	18	13	SRR1970703	SRS901668	22-0111	2013	Moldova	22-0111	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
502	SAMN03277256	SRX986827	346	206	SRR1964925	SRS901669	21-0100	2013	Moldova	21-0100	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277256	SRX986827	3176	2187	SRR1970702	SRS901669	21-0100	2013	Moldova	21-0100	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
502	SAMN03277255	SRX986826	680	453	SRR1964924	SRS901670	21-0067	2013	Moldova	21-0067	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277255	SRX986826	3477	2356	SRR1970701	SRS901670	21-0067	2013	Moldova	21-0067	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277254	SRX986825	19	14	SRR1964923	SRS901671	21-0065	2013	Moldova	21-0065	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
502	SAMN03277254	SRX986825	454	290	SRR1970700	SRS901671	21-0065	2013	Moldova	21-0065	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
502	SAMN03277253	SRX986824	425	270	SRR1964922	SRS901672	21-0045	2013	Moldova	21-0045	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
602	SAMN03277253	SRX986824	21	15	SRR1970699	SRS901672	21-0045	2013	Moldova	21-0045	AMPLICON	PRJNA271805	Pathogen.cl	TGEN-NORTH	public	sra	ncbi	0	Illumina MiSeq	PAIRED	RANDOM	GENOMIC	2015-04-13	Mycobacterium tuberculosis	ILLUMINA	2015-05-01	SRP051894	missing	Homo sapiens	tuberculosis	sputum	missing
