AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	Gene	Library_Name	LoadDate	MBases	MBytes	Organism	ReleaseDate	Run	SRA_Sample	Sample_Name	Study_type	collected_by	collection_date	geo_loc_name	host	host_disease	isolate	isolation_source	sample_type	strain	Assay_Type	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	SRA_Study
315	SAMN11483646	sra	ncbi		SRX5731030	DHPS, DHFR	93KExxxxx0230PfC0031	2019-04-24	38	19	Plasmodium falciparum	2019-04-24	SRR8951213	SRS4668545	93KExxxxx0230PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0230PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
268	SAMN11483523	sra	ncbi		SRX5731029	DHPS, DHFR	93KExxxxx0079PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951214	SRS4668544	93KExxxxx0079PfC0031	Cohort Cross-Section	Ndwara/Nyangoma	1993	Kenya	Homo sapiens		93KExxxxx0079PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
272	SAMN11483524	sra	ncbi		SRX5731028	DHPS, DHFR	93KExxxxx0080PfC0031	2019-04-24	1	1	Plasmodium falciparum	2019-04-24	SRR8951215	SRS4668543	93KExxxxx0080PfC0031	Cohort Cross-Section	Ndwara/Nyangoma	1993	Kenya	Homo sapiens		93KExxxxx0080PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
271	SAMN11483521	sra	ncbi		SRX5731027	DHPS, DHFR	93KExxxxx0077PfC0031	2019-04-24	4	2	Plasmodium falciparum	2019-04-24	SRR8951216	SRS4668542	93KExxxxx0077PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0077PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
295	SAMN11483522	sra	ncbi		SRX5731026	DHPS, DHFR	93KExxxxx0078PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951217	SRS4668541	93KExxxxx0078PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0078PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
281	SAMN11483519	sra	ncbi		SRX5731025	DHPS, DHFR	93KExxxxx0075PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951218	SRS4668540	93KExxxxx0075PfC0031	Cohort Cross-Section	Wera	1993	Kenya	Homo sapiens		93KExxxxx0075PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
272	SAMN11483520	sra	ncbi		SRX5731024	DHPS, DHFR	93KExxxxx0076PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951219	SRS4668539	93KExxxxx0076PfC0031	Cohort Cross-Section	Raliew	1993	Kenya	Homo sapiens		93KExxxxx0076PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
281	SAMN11483517	sra	ncbi		SRX5731023	DHPS, DHFR	93KExxxxx0073PfC0031	2019-04-24	1	1	Plasmodium falciparum	2019-04-24	SRR8951220	SRS4668538	93KExxxxx0073PfC0031	Cohort Cross-Section	Wera	1993	Kenya	Homo sapiens		93KExxxxx0073PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
282	SAMN11483518	sra	ncbi		SRX5731022	DHPS, DHFR	93KExxxxx0074PfC0031	2019-04-24	2	1	Plasmodium falciparum	2019-04-24	SRR8951221	SRS4668537	93KExxxxx0074PfC0031	Cohort Cross-Section	Wera	1993	Kenya	Homo sapiens		93KExxxxx0074PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
285	SAMN11483515	sra	ncbi		SRX5731021	DHPS, DHFR	93KExxxxx0071PfC0031	2019-04-24	1	0	Plasmodium falciparum	2019-04-24	SRR8951222	SRS4668536	93KExxxxx0071PfC0031	Cohort Cross-Section	Wera	1993	Kenya	Homo sapiens		93KExxxxx0071PfC0031	blood	Frozen Cells	NA	AMPLICON	PRJNA428490	Microbe, viral or environmental	CENTER FOR DISEASE CONTROL AND PREVENTION	public	0	Illumina MiSeq	PAIRED	PCR	GENOMIC	ILLUMINA	SRP128900
